时间,PB粉,焦炭,动力煤,生铁成本,市场价(不含税):废钢:6-8mm:张家港,价格:硅锰:FeMn65Si17:南方,钢坯成本,螺纹成本,热卷成本,螺纹钢,热卷,螺纹加工利润,热卷加工利润
2011/10/10,1215,2175,850,3325.036752,2760,8950,4131.336752,4251.336752,4451.336752,4640,4700,388.6632479,248.6632479
2011/10/11,1205,2175,850,3308.036752,2760,8950,4114.336752,4234.336752,4434.336752,4640,4700,405.6632479,265.6632479
2011/10/12,1195,2175,850,3291.036752,2760,8900,4096.836752,4216.836752,4416.836752,4620,4680,403.1632479,263.1632479
2011/10/13,1175,2175,850,3257.036752,2760,8800,4061.836752,4181.836752,4381.836752,4620,4680,438.1632479,298.1632479
2011/10/14,1165,2175,855,3240.464103,2760,8800,4045.264103,4165.264103,4365.264103,4600,4680,434.7358974,314.7358974
2011/10/17,1155,2175,855,3223.464103,2760,8700,4027.264103,4147.264103,4347.264103,4570,4600,422.7358974,252.7358974
2011/10/18,1145,2140,855,3191.506838,2760,8700,3995.306838,4115.306838,4315.306838,4550,4580,434.6931624,264.6931624
2011/10/19,1105,2140,855,3123.506838,2760,8600,3926.306838,4046.306838,4246.306838,4520,4550,473.6931624,303.6931624
2011/10/20,1065,2140,860,3055.934188,2760,8600,3858.734188,3978.734188,4178.734188,4460,4400,481.265812,221.265812
2011/10/21,1045,2140,860,3021.934188,2760,8600,3824.734188,3944.734188,4144.734188,4440,4320,495.265812,175.265812
2011/10/24,1025,2140,860,2987.934188,2760,8600,3790.734188,3910.734188,4110.734188,4440,4320,529.265812,209.265812
2011/10/25,995,2140,860,2936.934188,2760,8400,3737.734188,3857.734188,4057.734188,4440,4380,582.265812,322.265812
2011/10/26,965,2140,860,2885.934188,2760,8300,3685.734188,3805.734188,4005.734188,4440,4380,634.265812,374.265812
2011/10/27,935,2140,860,2834.934188,2760,8300,3634.734188,3754.734188,3954.734188,4440,4380,685.265812,425.265812
2011/10/28,925,2140,860,2817.934188,2760,8300,3617.734188,3737.734188,3937.734188,4420,4380,682.265812,442.265812
2011/10/31,905,2140,860,2783.934188,2760,8200,3582.734188,3702.734188,3902.734188,4420,4380,717.265812,477.265812
2011/11/1,905,2140,860,2783.934188,2760,8200,3582.734188,3702.734188,3902.734188,4420,4350,717.265812,447.265812
2011/11/2,905,2140,860,2783.934188,2760,8150,3582.234188,3702.234188,3902.234188,4410,4350,707.765812,447.765812
2011/11/3,905,2140,860,2783.934188,2760,8150,3582.234188,3702.234188,3902.234188,4400,4350,697.765812,447.765812
2011/11/4,895,2140,855,2766.506838,2760,8150,3564.806838,3684.806838,3884.806838,4400,4350,715.1931624,465.1931624
2011/11/7,905,2140,855,2783.506838,2760,8100,3581.306838,3701.306838,3901.306838,4400,4350,698.6931624,448.6931624
2011/11/8,925,2140,855,2817.506838,2760,8000,3614.306838,3734.306838,3934.306838,4400,4350,665.6931624,415.6931624
2011/11/9,955,2140,855,2868.506838,2760,7950,3664.806838,3784.806838,3984.806838,4400,4350,615.1931624,365.1931624
2011/11/10,965,2140,855,2885.506838,2760,7900,3681.306838,3801.306838,4001.306838,4400,4350,598.6931624,348.6931624
2011/11/11,975,2140,855,2902.506838,2760,7800,3697.306838,3817.306838,4017.306838,4380,4350,562.6931624,332.6931624
2011/11/14,975,2140,850,2902.079487,2760,7800,3696.879487,3816.879487,4016.879487,4380,4350,563.1205128,333.1205128
2011/11/15,985,2140,850,2919.079487,2760,7800,3713.879487,3833.879487,4033.879487,4390,4350,556.1205128,316.1205128
2011/11/16,1005,2140,850,2953.079487,2760,7800,3747.879487,3867.879487,4067.879487,4410,4350,542.1205128,282.1205128
2011/11/17,1005,2140,850,2953.079487,2760,7800,3747.879487,3867.879487,4067.879487,4410,4350,542.1205128,282.1205128
2011/11/18,1005,2140,850,2953.079487,2760,7800,3747.879487,3867.879487,4067.879487,4410,4350,542.1205128,282.1205128
2011/11/21,1005,2140,845,2952.652137,2760,7800,3747.452137,3867.452137,4067.452137,4410,4350,542.5478632,282.5478632
2011/11/22,995,2140,845,2935.652137,2760,7800,3730.452137,3850.452137,4050.452137,4410,4300,559.5478632,249.5478632
2011/11/23,985,2110,845,2905.831624,2760,7800,3700.631624,3820.631624,4020.631624,4410,4300,589.3683761,279.3683761
2011/11/24,975,2110,845,2888.831624,2760,7800,3683.631624,3803.631624,4003.631624,4410,4300,606.3683761,296.3683761
2011/11/25,965,2110,845,2871.831624,2760,7800,3666.631624,3786.631624,3986.631624,4410,4300,623.3683761,313.3683761
2011/11/28,955,2110,840,2854.404274,2760,7800,3649.204274,3769.204274,3969.204274,4410,4300,640.7957265,330.7957265
2011/11/29,945,2110,840,2837.404274,2760,7800,3632.204274,3752.204274,3952.204274,4410,4300,657.7957265,347.7957265
2011/11/30,935,2110,840,2820.404274,2760,7800,3615.204274,3735.204274,3935.204274,4410,4300,674.7957265,364.7957265
2011/12/1,935,2110,840,2820.404274,2760,7800,3615.204274,3735.204274,3935.204274,4410,4300,674.7957265,364.7957265
2011/12/2,945,2110,840,2837.404274,2760,7800,3632.204274,3752.204274,3952.204274,4410,4300,657.7957265,347.7957265
2011/12/5,955,2110,840,2854.404274,2760,7800,3649.204274,3769.204274,3969.204274,4410,4300,640.7957265,330.7957265
2011/12/6,955,2110,840,2854.404274,2760,7850,3649.704274,3769.704274,3969.704274,4410,4300,640.2957265,330.2957265
2011/12/7,955,2110,840,2854.404274,2760,7850,3649.704274,3769.704274,3969.704274,4410,4330,640.2957265,360.2957265
2011/12/8,955,2110,835,2853.976923,2760,7850,3649.276923,3769.276923,3969.276923,4400,4330,630.7230769,360.7230769
2011/12/9,955,2110,830,2853.549573,2760,7850,3648.849573,3768.849573,3968.849573,4400,4330,631.1504274,361.1504274
2011/12/12,955,2110,830,2853.549573,2760,7850,3648.849573,3768.849573,3968.849573,4400,4330,631.1504274,361.1504274
2011/12/13,945,2110,830,2836.549573,2760,7850,3631.849573,3751.849573,3951.849573,4400,4330,648.1504274,378.1504274
2011/12/14,935,2075,830,2804.592308,2760,7850,3599.892308,3719.892308,3919.892308,4400,4330,680.1076923,410.1076923
2011/12/15,935,2075,825,2804.164957,2760,7850,3599.464957,3719.464957,3919.464957,4400,4330,680.5350427,410.5350427
2011/12/16,935,2075,820,2803.737607,2760,7850,3599.037607,3719.037607,3919.037607,4400,4330,680.9623932,410.9623932
2011/12/19,925,2075,815,2786.310256,2760,7850,3581.610256,3701.610256,3901.610256,4400,4330,698.3897436,428.3897436
2011/12/20,925,2075,815,2786.310256,2760,7850,3581.610256,3701.610256,3901.610256,4400,4330,698.3897436,428.3897436
2011/12/21,925,2075,815,2786.310256,2760,7850,3581.610256,3701.610256,3901.610256,4390,4330,688.3897436,428.3897436
2011/12/22,935,2075,815,2803.310256,2760,7850,3598.610256,3718.610256,3918.610256,4380,4330,661.3897436,411.3897436
2011/12/23,935,2075,815,2803.310256,2760,7850,3598.610256,3718.610256,3918.610256,4380,4330,661.3897436,411.3897436
2011/12/26,935,2075,805,2802.455556,2760,7850,3597.755556,3717.755556,3917.755556,4380,4330,662.2444444,412.2444444
2011/12/27,945,2075,805,2819.455556,2760,7850,3614.755556,3734.755556,3934.755556,4370,4330,635.2444444,395.2444444
2011/12/28,945,2075,805,2819.455556,2760,7850,3614.755556,3734.755556,3934.755556,4360,4320,625.2444444,385.2444444
2011/12/29,955,2085,805,2840.72906,2760,7850,3636.02906,3756.02906,3956.02906,4350,4320,593.9709402,363.9709402
2011/12/30,955,2085,805,2840.72906,2760,7850,3636.02906,3756.02906,3956.02906,4340,4320,583.9709402,363.9709402
2012/1/2,955,2085,800,2840.301709,2760,7850,3635.601709,3755.601709,3955.601709,4340,4320,584.3982906,364.3982906
2012/1/3,955,2085,800,2840.301709,2760,7850,3635.601709,3755.601709,3955.601709,4340,4320,584.3982906,364.3982906
2012/1/4,955,2085,800,2840.301709,2760,7850,3635.601709,3755.601709,3955.601709,4330,4320,574.3982906,364.3982906
2012/1/5,965,2085,800,2857.301709,2760,7850,3652.601709,3772.601709,3972.601709,4320,4320,547.3982906,347.3982906
2012/1/6,965,2085,795,2856.874359,2760,7850,3652.174359,3772.174359,3972.174359,4320,4320,547.825641,347.825641
2012/1/9,975,2085,790,2873.447009,2760,7850,3668.747009,3788.747009,3988.747009,4320,4320,531.2529915,331.2529915
2012/1/10,985,2085,790,2890.447009,2760,7850,3685.747009,3805.747009,4005.747009,4300,4320,494.2529915,314.2529915
2012/1/11,985,2085,790,2890.447009,2760,7850,3685.747009,3805.747009,4005.747009,4300,4320,494.2529915,314.2529915
2012/1/12,985,2085,790,2890.447009,2760,7850,3685.747009,3805.747009,4005.747009,4290,4320,484.2529915,314.2529915
2012/1/13,985,2085,790,2890.447009,2760,7850,3685.747009,3805.747009,4005.747009,4270,4320,464.2529915,314.2529915
2012/1/16,985,2085,790,2890.447009,2760,7850,3685.747009,3805.747009,4005.747009,4270,4320,464.2529915,314.2529915
2012/1/17,985,2085,790,2890.447009,2760,7850,3685.747009,3805.747009,4005.747009,4270,4320,464.2529915,314.2529915
2012/1/18,985,2085,790,2890.447009,2760,7850,3685.747009,3805.747009,4005.747009,4270,4320,464.2529915,314.2529915
2012/1/19,985,2085,785,2890.019658,2760,7850,3685.319658,3805.319658,4005.319658,4270,4320,464.6803419,314.6803419
2012/1/20,985,2085,780,2889.592308,2760,7850,3684.892308,3804.892308,4004.892308,4270,4320,465.1076923,315.1076923
2012/1/23,985,2085,780,2889.592308,2760,7850,3684.892308,3804.892308,4004.892308,4270,4320,465.1076923,315.1076923
2012/1/24,985,2085,780,2889.592308,2760,7850,3684.892308,3804.892308,4004.892308,4270,4320,465.1076923,315.1076923
